Type,GitBook Path,Cookbook Path,Status
missing_in_cookbook,guides/index-your-data-with-vector-data-store.md,,
missing_in_cookbook,guides/introduction-to-rag.md,,
missing_in_cookbook,tutorials/core/migration-guide/gllm-core-v0.3-to-v0.4.md,,
missing_in_cookbook,tutorials/core/retry.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/chunker/structured-element-chunker.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/chunker/table-chunker.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/data-generator/image.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/downloader/direct-file-url-downloader.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/downloader/firecrawl-downloader.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/downloader/google-drive-downloader.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/downloader/html-downloader.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/downloader/smart-crawl-downloader.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/downloader/smart-search-downloader.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/dpo-router/loader-router.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/dpo-router/parser-router.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/indexer/graph-rag.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/indexer/vector-db.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/audio.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/csv.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/docx.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/html.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/image.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/json.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/pdf.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/pptx.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/txt.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/video.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/loader/xlsx.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/parser/docx.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/parser/html.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/parser/pdf.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/parser/pptx.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/parser/txt.md,,
missing_in_cookbook,tutorials/document-processing-orchestrator/parser/xlsx.md,,
missing_in_cookbook,tutorials/evaluation/attachments.md,,
missing_in_cookbook,tutorials/evaluation/calibrate-the-evals/multiple-llm-as-a-judge.md,,
missing_in_cookbook,tutorials/evaluation/calibrate-the-evals/temporary-fewshot-per-test-case.md,,
missing_in_cookbook,tutorials/evaluation/calibrate-the-evals/tutorials_by_task/agent_qna_evaluations.md,,
